dimension,sbr_column,correlation,p_value
199,SBR_TOTAL,0.8101282586431926,1.4136785840177206e-117
16,SBR_TOTAL,-0.806964944827406,5.619279241568836e-116
16,SBR_MEAN_R,-0.7843123353691417,2.4936006628253614e-105
199,SBR_MEAN_R,0.7783138172864328,1.0055396123509736e-102
16,DATSCAN_CAUDATE_R,-0.7772461846614627,2.8680991335808022e-102
199,DATSCAN_CAUDATE_R,0.7691349149027842,6.842120611753433e-99
199,DATSCAN_PUTAMEN_R_ANT,0.7657736022103556,1.5650941769811884e-97
16,DATSCAN_PUTAMEN_R_ANT,-0.7652201923903423,2.607089822009071e-97
199,DATSCAN_PUTAMEN_L_ANT,0.7631552120440973,1.7286770282510577e-96
199,SBR_MEAN_L,0.7629570041634299,2.0707567506780147e-96
