dimension,sbr_column,correlation,p_value
47,SBR_TOTAL,-0.7914024411793693,1.6117094051447833e-108
47,SBR_MEAN_R,-0.7913390227218365,1.723315521354854e-108
47,DATSCAN_PUTAMEN_R_ANT,-0.7898254006877006,8.460323972590386e-108
47,DATSCAN_CAUDATE_R,-0.7713248199745403,8.651130770583301e-100
47,DATSCAN_PUTAMEN_R,-0.7393804134804544,1.3413039307214438e-87
47,DATSCAN_CAUDATE_L,-0.7280461339659813,1.0734297080863599e-83
123,SBR_TOTAL,-0.7265096757032469,3.505315156967934e-83
47,SBR_MEAN_L,-0.7263786235406029,3.8761656246901725e-83
47,DATSCAN_PUTAMEN_L_ANT,-0.7087484159076256,1.7434832265953714e-77
123,SBR_MEAN_R,-0.7008825431651643,4.2566891312617484e-75
